Line_No,Date_first_seen,Duration,Proto,Flags,Tos,Packets,Bytes,Flows,src_ips,src_ports,dst_ips,dst_ports
4716,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,    77.72.82.80,44923 ,   157.190.40.8,4836  
4717,2017-10-23 16:19:40.684,0.0, TCP,......,0,0,0,1.0,  172.28.21.208,49981 ,  17.134.127.97,443   
4718,2017-10-23 16:19:40.684,0.0, TCP,......,0,0,0,1.0,  172.28.21.208,49981 ,  17.134.127.97,443   
4719,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   91.247.38.64,54262 ,157.190.206.194,700   
4720,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 103.75.227.156,50954 ,  157.190.5.203,2323  
4721,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  172.28.22.129,54288 ,  47.73.170.156,5094  
4722,2017-10-23 16:19:41.804,0.0, UDP,......,0,0,0,1.0,  172.28.16.112,55043 ,    193.1.186.3,53    
4723,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,143.255.229.128,23131 ,157.190.125.180,2323  
4724,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,   172.28.3.225,51036 ,  209.85.202.95,443   
4725,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,    77.72.82.11,48582 ,157.190.102.230,3386  
4726,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,119.193.140.175,64657 , 157.190.59.151,22    
4727,2017-10-23 16:19:41.754,0.0, TCP,......,0,0,0,1.0, 157.190.128.73,50126 ,    31.13.90.36,443   
4728,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  172.28.11.115,59313 ,   192.168.1.32,8611  
4729,2017-10-23 16:19:41.664,0.0, TCP,......,0,0,1864,1.0, 157.190.147.73,54208 ,  198.47.127.15,443   
4730,2017-10-23 16:19:41.664,0.0, TCP,......,0,0,1864,1.0, 157.190.147.73,54208 ,  198.47.127.15,443   
4731,2017-10-23 16:19:41.674,0.0, TCP,......,0,0,233,1.0, 157.190.45.158,58025 ,   178.255.83.1,80    
4732,2017-10-23 16:19:41.674,0.0, TCP,......,0,0,233,1.0, 157.190.45.158,58025 ,   178.255.83.1,80    
4733,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   172.28.25.73,51634 ,  47.73.170.165,5094  
4734,2017-10-23 16:19:41.764,0.0, TCP,......,0,0,0,1.0,  172.28.27.141,52004 , 165.193.93.104,80    
4735,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,    83.1.132.15,34157 ,157.190.235.136,23    
4736,2017-10-23 16:19:41.784,0.0, TCP,......,0,0,0,1.0,  172.28.27.198,50900 ,   92.123.72.38,80    
4737,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  211.103.24.10,50072 ,157.190.252.146,1433  
4738,2017-10-23 16:19:41.784,0.0, TCP,......,0,0,0,1.0,  80.103.13.178,12360 , 157.190.23.166,443   
