,Proto,Flows,Bytes,src_ips,dst_ips
379,TCP,1.0,11416, 157.190.140.54, 40.101.124.194
380,TCP,1.0,0,  172.28.12.186,    40.101.4.18
381,TCP,1.0,0,    172.28.1.73,     31.13.90.1
382,TCP,1.0,2213,  172.28.27.127,  17.252.60.166
383,TCP,1.0,1, 157.190.35.143, 209.85.202.157
384,TCP,1.0,536,    172.28.24.5,   17.252.44.85
385,TCP,1.0,69,   172.28.26.98,   17.252.12.74
386,TCP,1.0,0,  172.28.246.91,108.177.119.103
387,TCP,1.0,1415,   172.28.2.208,146.148.112.133
388,TCP,1.0,0,    77.72.82.80,  157.190.83.12
389,TCP,1.0,0,  112.81.127.71, 157.190.130.73
390,TCP,1.0,0,   172.28.30.36,    216.52.1.12
391,TCP,1.0,0,   172.28.30.36,    216.52.1.12
392,TCP,1.0,0,  172.28.20.203,   83.97.89.145
393,TCP,1.0,0, 27.255.197.170,157.190.183.121
394,UDP,1.0,0,   172.28.27.23,    193.1.186.2
395,UDP,1.0,53,   172.28.27.23,    193.1.186.2
396,UDP,1.0,0,  172.28.26.249,    193.1.186.2
397,UDP,1.0,49,  172.28.26.249,    193.1.186.2
398,UDP,1.0,0,   172.28.6.215,    193.1.186.2
399,UDP,1.0,45,   172.28.6.215,    193.1.186.2
400,UDP,1.0,0,   172.28.3.241,    193.1.186.2
401,UDP,1.0,40,   172.28.3.241,    193.1.186.2
402,UDP,1.0,0,  172.28.13.190,    193.1.186.3
403,UDP,1.0,32,  172.28.13.190,    193.1.186.3
404,TCP,1.0,0,   172.28.0.216,   17.252.12.10
405,TCP,1.0,5202,   172.28.0.216,   17.252.12.10
406,TCP,1.0,0,  45.77.155.251,157.190.211.151
407,TCP,1.0,1,  157.190.42.37,  185.86.137.32
408,TCP,1.0,46,  157.190.37.74,  209.85.203.97
409,TCP,1.0,164,157.190.153.140, 209.85.202.108
410,TCP,1.0,3536, 157.190.52.174, 209.85.202.190
411,TCP,1.0,46,  157.190.37.74,  209.85.202.94
412,TCP,1.0,1591, 157.190.133.53,  185.86.137.43
413,TCP,1.0,1803,  172.28.18.198,  23.212.230.61
414,TCP,1.0,0,157.190.150.113, 40.101.126.114
415,TCP,1.0,405, 157.190.133.53,   152.163.56.2
416,TCP,1.0,46, 157.190.133.53, 107.178.240.89
417,TCP,1.0,1056,   172.28.12.36,    13.74.34.99
418,TCP,1.0,46, 157.190.133.53,  188.125.66.34
419,TCP,1.0,1, 157.190.142.67, 209.85.202.100
420,TCP,1.0,1,  157.190.96.29,  209.85.202.94
421,TCP,1.0,0, 157.190.138.89,  40.101.18.226
422,TCP,1.0,1, 157.190.144.57, 209.85.202.157
423,TCP,1.0,0,   172.28.0.199, 209.85.202.153
424,TCP,1.0,376,  172.28.26.185, 209.85.202.132
425,TCP,1.0,0,    172.28.20.2, 17.248.149.203
426,TCP,1.0,1,    172.28.5.82,  209.85.202.95
427,UDP,1.0,0, 157.190.152.61,    192.168.1.8
428,TCP,1.0,1005, 157.190.145.82, 162.125.18.133
429,UDP,1.0,48,  157.190.39.15,  193.1.219.116
430,UDP,1.0,39,  172.28.29.168,    193.1.186.2
431,UDP,1.0,49,  172.28.10.112,    193.1.186.3
432,UDP,1.0,41,  172.28.24.177,    193.1.186.2
433,TCP,1.0,2472,  172.28.28.198, 209.85.202.153
434,UDP,1.0,35,   172.28.9.203,    193.1.186.3
435,UDP,1.0,41,  172.28.29.229,    193.1.186.2
436,TCP,1.0,3152, 157.190.152.55,  74.125.97.106
437,TCP,1.0,1465, 157.190.142.90,  40.101.76.114
438,UDP,1.0,39,   172.28.18.19,    193.1.186.2
439,UDP,1.0,44,  172.28.12.212,    193.1.186.2
440,UDP,1.0,40,  172.28.12.212,    193.1.186.2
441,UDP,1.0,27,  172.28.12.212,    193.1.186.2
